         198668384 function calls (193956861 primitive calls) in 279.605 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   269602    0.113    0.000    0.113    0.000 reportviews.py:177(__getitem__)
   262963    0.202    0.000    0.202    0.000 {method 'getrandbits' of '_random.Random' objects}
   255884    0.115    0.000    0.166    0.000 compat.py:90(as_text)
   255340    0.150    0.000    0.314    0.000 compat.py:114(as_str)
   243641    0.059    0.000    0.059    0.000 ops.py:397(dtype)
   240767    0.136    0.000    0.136    0.000 context.py:791(executing_eagerly)
   235617    0.327    0.000    0.359    0.000 dtypes.py:192(__eq__)
   225062    0.134    0.000    0.134    0.000 ops.py:5557(get_default)
   225062    0.190    0.000    0.324    0.000 ops.py:5989(get_default_graph)
   219706    0.371    0.000    0.436    0.000 contextlib.py:81(__init__)
219706/131866    0.242    0.000    2.138    0.000 contextlib.py:107(__enter__)
219706/138881    0.289    0.000    0.980    0.000 contextlib.py:116(__exit__)
   219706    0.178    0.000    0.614    0.000 contextlib.py:237(helper)
   210556    0.109    0.000    0.109    0.000 {built-in method math.ceil}
   206719    0.086    0.000    0.119    0.000 object_identity.py:63(__hash__)
   206719    0.050    0.000    0.050    0.000 object_identity.py:35(__init__)
   203835    0.101    0.000    0.101    0.000 {method 'encode' of 'str' objects}
   194585    0.042    0.000    0.042    0.000 ops.py:392(op)
   188770    0.052    0.000    0.057    0.000 {method 'extend' of 'list' objects}
   188294    0.039    0.000    0.039    0.000 {method 'values' of 'dict' objects}
   176610    0.321    0.000    0.400    0.000 dtypes.py:606(as_dtype)
   175948    0.384    0.000    0.685    0.000 {built-in method builtins.sorted}
173197/40400    1.250    0.000   37.531    0.001 base.py:30(_flow_path)
   172985    0.171    0.000    0.171    0.000 dtypes.py:71(_is_ref_dtype)
   172985    0.107    0.000    0.278    0.000 dtypes.py:84(base_dtype)
   169146    0.040    0.000    0.040    0.000 ops.py:2381(graph)
   165516    0.453    0.000    0.504    0.000 {built-in method builtins.max}
   158977    0.046    0.000    0.066    0.000 {built-in method builtins.setattr}
   158931    0.106    0.000    0.146    0.000 object_identity.py:183(_wrap_key)
   154754    0.030    0.000    0.030    0.000 {method 'bit_length' of 'int' objects}
   154754    0.177    0.000    0.177    0.000 {method 'random' of '_random.Random' objects}
   154754    0.248    0.000    0.710    0.000 random.py:174(randrange)
   154754    0.131    0.000    0.841    0.000 random.py:218(randint)
   154754    0.230    0.000    0.462    0.000 random.py:224(_randbelow)
   141113    0.520    0.000   15.199    0.000 copy.py:211(_deepcopy_list)
   139430    0.154    0.000    0.258    0.000 context.py:1851(executing_eagerly)
   132811    0.095    0.000    0.095    0.000 {built-in method from_bytes}
   132797    0.221    0.000    0.221    0.000 {built-in method _hashlib.openssl_sha512}
   132797    0.188    0.000    0.188    0.000 {method 'digest' of '_hashlib.HASH' objects}
   132797    0.100    0.000    0.100    0.000 reportviews.py:1105(__getitem__)
   132797    0.217    0.000    1.016    0.000 hash_weights.py:58(get_bucket_list)
   132797    0.062    0.000    0.062    0.000 base.py:46(<listcomp>)
   132797    0.263    0.000    0.263    0.000 base.py:56(<dictcomp>)
   132797    1.468    0.000    8.084    0.000 dag_calculator.py:108(_find_possible_nexthops)
   132797    0.598    0.000   11.998    0.000 dag_calculator.py:169(calculate)
   132797    1.453    0.000   22.890    0.000 dxhash.py:18(_choose_nexthop)
   131962    0.025    0.000    0.025    0.000 tensor_shape.py:247(value)
   128934    0.215    0.000    0.226    0.000 _collections_abc.py:742(__iter__)
   127764    0.038    0.000    0.067    0.000 object_identity.py:175(<genexpr>)
   123532    0.070    0.000    0.097    0.000 ops.py:4998(_device_function_stack)
122991/121071    0.177    0.000    0.222    0.000 optimizer_v2.py:706(__getattribute__)
   121513    0.063    0.000    0.092    0.000 ops.py:4079(_name_stack)
   117603    0.365    0.000    0.413    0.000 {built-in method tensorflow.python._pywrap_utils.Flatten}
   117603    0.089    0.000    0.502    0.000 nest.py:274(flatten)
   106470    0.065    0.000    0.065    0.000 {method 'acquire' of '_thread.lock' objects}
   105496    0.069    0.000    0.110    0.000 ops.py:5075(_control_dependencies_stack)
   105486    0.031    0.000    0.034    0.000 ops.py:796(_as_tf_output)
   103117    0.084    0.000    0.123    0.000 ops.py:5094(_distribution_strategy_stack)
   100896    0.062    0.000    0.064    0.000 object_identity.py:211(__iter__)
    97494    0.040    0.000    0.040    0.000 lock_util.py:110(_validate_group_id)
    94380    0.042    0.000    0.042    0.000 {method 'HasField' of 'google.protobuf.pyext._message.CMessage' objects}
    92399    0.019    0.000    0.019    0.000 ops.py:2036(_get_control_flow_context)
    90184    0.112    0.000    0.121    0.000 {built-in method _abc._abc_instancecheck}
    90184    0.052    0.000    0.174    0.000 abc.py:137(__instancecheck__)
    90127    0.081    0.000    0.081    0.000 {built-in method tensorflow.python._pywrap_utils.IsSequence}
    87926    0.177    0.000    0.263    0.000 object_identity.py:174(__init__)
    86763    0.030    0.000    0.030    0.000 ops.py:2307(outputs)
    81994    0.061    0.000    0.084    0.000 nest.py:203(_yield_sorted_items)
    81790    0.055    0.000    0.128    0.000 c_api_util.py:157(tf_buffer)
    80823    0.050    0.000    0.072    0.000 reportviews.py:174(__iter__)
    79619    0.112    0.000    0.261    0.000 object_identity.py:186(__contains__)
    79467    0.038    0.000    0.038    0.000 ops.py:3071(_c_graph)
    79272    0.339    0.000    0.339    0.000 {method 'SerializeToString' of 'google.protobuf.pyext._message.CMessage' objects}
    78082    0.240    0.000    0.240    0.000 {method 'CopyFrom' of 'google.protobuf.pyext._message.CMessage' objects}
    76318    0.081    0.000    0.143    0.000 compat.py:64(as_bytes)
    75503    0.106    0.000    0.335    0.000 ops.py:2312(inputs)
    74318    0.105    0.000    0.105    0.000 traceable_stack.py:121(<genexpr>)
    73972    0.022    0.000    0.022    0.000 {method 'release' of '_thread.lock' objects}
    73532    0.034    0.000    0.034    0.000 {method 'pop' of 'list' objects}
72777/60825    0.043    0.000    0.058    0.000 {built-in method builtins.hash}
72067/71157    0.018    0.000    0.051    0.000 {method 'update' of 'set' objects}
    70865    0.024    0.000    0.024    0.000 {method 'pop' of 'dict' objects}
    70214    0.070    0.000    0.186    0.000 object_identity.py:195(update)
    70214    0.032    0.000    0.098    0.000 object_identity.py:196(<listcomp>)
    70046    0.040    0.000    0.058    0.000 ops.py:402(graph)
    69505    0.038    0.000    0.055    0.000 ops.py:5044(_colocation_stack)
67739/64809    0.078    0.000    1.112    0.000 {built-in method builtins.any}
    66840    0.028    0.000    0.035    0.000 ops.py:3472(<genexpr>)
    66313    0.020    0.000    0.020    0.000 ops.py:3043(_check_not_finalized)
    64996    0.212    0.000    0.212    0.000 {method 'ByteSize' of 'google.protobuf.pyext._message.CMessage' objects}
    64996    0.027    0.000    0.027    0.000 lock_util.py:108(<genexpr>)
    64996    0.029    0.000    0.029    0.000 traceable_stack.py:123(peek_traceable_objs)
    62737    0.038    0.000    0.246    0.000 ops.py:421(shape)
    62584    0.188    0.000    0.188    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_SetAttrValueProto}
60646/15430    0.094    0.000    0.138    0.000 function.py:95(_make_input_signature_hashable)
    60224    0.045    0.000    0.108    0.000 nest.py:198(_yield_value)
    55961    0.057    0.000    0.057    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationName}
    55025    0.124    0.000    0.124    0.000 {method 'match' of 're.Pattern' objects}
    54686    0.011    0.000    0.011    0.000 while_v2.py:1019(<genexpr>)
    52209    0.017    0.000    0.017    0.000 ops.py:3354(building_function)
    52204    0.037    0.000    0.167    0.000 ops.py:1925(<genexpr>)
    51300    0.012    0.000    0.012    0.000 _flagvalues.py:141(_flags)
    50979    0.012    0.000    0.012    0.000 context.py:1718(context_switches)
    49895    0.046    0.000    0.104    0.000 registry.py:82(lookup)
    49477    0.065    0.000    0.065    0.000 traceable_stack.py:119(peek_objs)
    49041    0.011    0.000    0.011    0.000 errors_impl.py:86(message)
    49041    0.030    0.000    0.040    0.000 errors_impl.py:117(__str__)
    48973    0.018    0.000    0.018    0.000 distribute_lib.py:771(extended)
    47952    0.041    0.000    0.041    0.000 {built-in method tensorflow.python._pywrap_utils.IsSequenceOrComposite}
47573/45521    0.135    0.000    3.801    0.000 ops.py:1448(convert_to_tensor)
    47150    0.032    0.000    0.080    0.000 auto_control_deps.py:125(op_is_stateful)
    47150    0.062    0.000    0.161    0.000 tpu.py:239(replace_with_unreplicated_resources)
    47098    0.012    0.000    0.012    0.000 {built-in method builtins.callable}
    46984    0.054    0.000    0.258    0.000 {built-in method builtins.all}
    46809    0.024    0.000    0.033    0.000 traceable_stack.py:127(__len__)
    45696    0.023    0.000    0.023    0.000 op_def_registry.py:34(get)
    45494    0.021    0.000    0.021    0.000 ops.py:4086(_name_stack)
    45470    0.116    0.000    0.373    0.000 ops.py:4091(name_scope)
    45068    0.044    0.000    0.067    0.000 context.py:773(_mode)
    44966    0.011    0.000    0.011    0.000 ops.py:3148(_get_control_flow_context)
    44172    0.023    0.000    0.031    0.000 object_identity.py:128(_wrap_key)
    43842    0.025    0.000    0.047    0.000 object_identity.py:54(__eq__)
    43842    0.016    0.000    0.022    0.000 object_identity.py:42(_assert_type)
    43406    0.028    0.000    0.028    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_DeleteBuffer}
    43009    0.026    0.000    0.033    0.000 tensor_shape.py:185(__init__)
    41942    0.053    0.000    0.162    0.000 object_identity.py:192(add)
    41131    0.102    0.000    0.211    0.000 dtypes.py:172(is_compatible_with)
    41087    0.025    0.000    0.034    0.000 ops.py:3015(_variable_creator_stack)
    40895    0.047    0.000    0.047    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_NewBuffer}
    40478    0.039    0.000    0.039    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_UID}
    40478    0.031    0.000    0.070    0.000 ops.py:216(uid)
    40400    0.028    0.000    0.028    0.000 base.py:76(<listcomp>)
    40400    0.119    0.000    0.167    0.000 base.py:75(_check_cycle)
    40195    0.010    0.000    0.010    0.000 array_ops.py:1485(<genexpr>)
    39991    0.015    0.000    0.015    0.000 function.py:2463(input_signature)
    39940    0.042    0.000    0.063    0.000 _collections_abc.py:676(items)
    39940    0.020    0.000    0.020    0.000 _collections_abc.py:698(__init__)
    39499    0.608    0.000    0.703    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationGetAttrValueProto}
    39499    0.216    0.000    1.378    0.000 ops.py:2471(get_attr)
    39388    0.130    0.000    0.725    0.000 nest.py:496(_pack_sequence_as)
    39388    0.051    0.000    0.776    0.000 nest.py:536(pack_sequence_as)
    39041    0.023    0.000    0.087    0.000 dtypes.py:205(__ne__)
38311/22765    0.024    0.000    0.054    0.000 nest.py:720(_yield_flat_up_to)
    38244    0.031    0.000    0.045    0.000 function.py:2840(input_signature)
    38216    0.088    0.000    0.142    0.000 ops.py:6385(name_scope)
38073/35098    0.079    0.000    4.753    0.000 func_graph.py:595(capture)
    37807    0.208    0.000    0.479    0.000 ops.py:359(__init__)
    37772    0.144    0.000    0.144    0.000 c_api_util.py:190(tf_output)
37636/37596    0.050    0.000    0.123    0.000 tensor_shape.py:746(__init__)
    37324    0.040    0.000    0.067    0.000 six.py:588(iteritems)
    37253    0.047    0.000    0.047    0.000 ops.py:3800(_get_operation_by_name_unsafe)
    37174    0.012    0.000    0.017    0.000 gradients_util.py:382(_IsFunction)
    36953    0.009    0.000    0.009    0.000 tensor_shape.py:826(dims)
    36828    0.071    0.000    0.202    0.000 distribution_strategy_context.py:79(_get_per_thread_mode)
    36440    0.039    0.000    0.410    0.000 ops.py:386(_create_with_tf_output)
    36405    0.066    0.000    0.066    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationOutputType}
    36068    0.034    0.000    0.054    0.000 ag_ctx.py:29(_control_ctx)
    35646    0.013    0.000    0.013    0.000 {method 'lower' of 'str' objects}
    35602    0.139    0.000    0.217    0.000 ops.py:4206(unique_name)
    34846    0.013    0.000    0.013    0.000 {built-in method _thread.get_ident}
    34782    0.078    0.000    0.151    0.000 op_def_library.py:53(_SatisfiesTypeConstraint)
    34742    0.782    0.000    0.813    0.000 {built-in method tensorflow.python._tf_stack.extract_stack}
    34742    0.055    0.000    0.881    0.000 tf_stack.py:131(extract_stack)
    34482    0.019    0.000    0.025    0.000 control_flow_util.py:180(GetOutputContext)
    34430    0.034    0.000    0.045    0.000 ops.py:5387(get_controller)
    34430    0.154    0.000    0.509    0.000 ops.py:5580(get_controller)
    34372    0.009    0.000    0.009    0.000 {method 'acquire' of '_thread.RLock' objects}
    34372    0.006    0.000    0.006    0.000 {method 'release' of '_thread.RLock' objects}
    34342    0.034    0.000    0.066    0.000 control_flow_util.py:266(CheckInputFromValidContext)
    34328    0.014    0.000    0.023    0.000 __init__.py:212(_acquireLock)
    34328    0.013    0.000    0.019    0.000 __init__.py:221(_releaseLock)
    34202    0.012    0.000    0.016    0.000 __init__.py:187(_checkLevel)
    34200    0.610    0.000    0.956    0.000 __init__.py:1304(_clear_cache)
    34200    0.027    0.000    0.999    0.000 __init__.py:1349(setLevel)
    34200    0.018    0.000    1.088    0.000 __init__.py:171(value)
    34200    0.046    0.000    1.070    0.000 __init__.py:176(_update_logging_levels)
    34200    0.024    0.000    1.207    0.000 __init__.py:269(set_verbosity)
    34200    0.058    0.000    1.183    0.000 _flagvalues.py:493(__setattr__)
    34200    0.019    0.000    0.030    0.000 _flagvalues.py:512(_assert_validators)
    34200    0.022    0.000    0.025    0.000 converter.py:138(absl_to_standard)
    33920    0.041    0.000    0.101    0.000 object_identity.py:131(__getitem__)
    33900    0.021    0.000    0.021    0.000 context.py:514(ensure_initialized)
    33829    0.041    0.000    0.052    0.000 tensor_util.py:986(is_tensor)
    33027    0.019    0.000    0.030    0.000 op_def_library.py:80(_IsListValue)
    32862    0.011    0.000    0.011    0.000 ops.py:3039(_variable_creator_stack)
    32862    0.014    0.000    0.014    0.000 ops.py:5101(_distribution_strategy_stack)
    32862    0.019    0.000    0.026    0.000 ops.py:5117(_auto_cast_variable_read_dtype)
    32862    0.010    0.000    0.010    0.000 ops.py:5133(_auto_cast_variable_read_dtype)
    32862    0.207    0.000    1.124    0.000 func_graph.py:365(inner_cm)
    32546    0.018    0.000    0.018    0.000 context.py:813(device_name)
    32533    0.138    0.000    0.173    0.000 ops.py:3052(_add_op)
    32498    0.031    0.000    0.031    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationNumOutputs}
    32498    2.088    0.000    2.088    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_FinishOperation}
    32498    0.217    0.000    0.217    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_NewOperation}
    32498    0.021    0.000    0.041    0.000 threading.py:255(_is_owned)
    32498    0.069    0.000    0.110    0.000 threading.py:335(notify)
    32498    0.039    0.000    0.157    0.000 threading.py:358(notify_all)
    32498    0.032    0.000    0.321    0.000 lock_util.py:126(__exit__)
    32498    0.028    0.000    0.268    0.000 lock_util.py:123(__enter__)
    32498    0.022    0.000    0.022    0.000 lock_util.py:119(__init__)
    32498    0.058    0.000    0.116    0.000 lock_util.py:106(_another_group_active)
    32498    0.095    0.000    0.289    0.000 lock_util.py:96(release)
    32498    0.084    0.000    0.240    0.000 lock_util.py:86(acquire)
    32498    0.405    0.000    0.700    0.000 ops.py:1737(_NodeDef)
    32498    0.428    0.000    3.767    0.000 ops.py:1764(_create_c_op)
    32498    0.855    0.000    7.081    0.000 ops.py:1839(__init__)
    32498    0.052    0.000    0.126    0.000 ops.py:1995(_control_flow_post_processing)
    32498    0.366    0.000   10.440    0.000 ops.py:3418(_create_op_internal)
    32498    0.286    0.000    1.173    0.000 ops.py:3521(_create_op_helper)
    32498    0.095    0.000    0.405    0.000 ops.py:4439(_apply_device_functions)
    32498    0.177    0.000    0.248    0.000 ops.py:4603(_control_dependencies_for_inputs)
    32498    0.033    0.000    0.096    0.000 ops.py:4637(_record_op_seen_by_control_dependencies)
    32498    0.053    0.000    0.135    0.000 ops.py:5019(_snapshot_device_function_stack_metadata)
    32498    0.011    0.000    0.015    0.000 ops.py:5061(<dictcomp>)
    32498    0.046    0.000    0.102    0.000 ops.py:5059(_snapshot_colocation_stack_metadata)
    32498    0.029    0.000    0.116    0.000 ops.py:5153(_mutation_lock)
    32498    0.160    0.000    0.173    0.000 ops.py:6880(_reconstruct_sequence_inputs)
    32498    0.050    0.000    0.088    0.000 lock_util.py:74(group)
32342/23555    0.254    0.000   12.176    0.001 func_graph.py:528(_create_op_internal)
    31968    0.005    0.000    0.005    0.000 {method 'values' of 'collections.OrderedDict' objects}
    31963    0.021    0.000    0.021    0.000 context.py:1204(op_callbacks)
    31963    0.043    0.000    0.072    0.000 op_callbacks.py:118(should_invoke_op_callbacks)
    30976    0.049    0.000    0.049    0.000 resource_variable_ops.py:503(device)
    30752    0.039    0.000    0.058    0.000 optimizer_v2.py:1279(_var_key)
    30428    0.129    0.000    1.112    0.000 function.py:2646(_convert_numpy_inputs)
    30102    0.017    0.000    0.059    0.000 {method 'throw' of 'generator' objects}
    30102    0.015    0.000    0.015    0.000 {built-in method sys.exc_info}
    30102    0.038    0.000    0.038    0.000 errors_impl.py:64(__init__)
    30102    0.041    0.000    0.079    0.000 errors_impl.py:264(__init__)
    29866    0.027    0.000    0.048    0.000 tape.py:150(stop_recording)
    29783    0.006    0.000    0.006    0.000 {method 'keys' of 'dict' objects}
    29350    0.008    0.000    0.008    0.000 op_def_library.py:235(_MaybeColocateWith)
29282/29271    0.012    0.000    0.012    0.000 tf_stack.py:123(get_filtered_filenames)
29282/29271    0.019    0.000    0.019    0.000 api.py:122(get_effective_source_map)
    29155    0.080    0.000    0.221    0.000 function.py:2632(_is_ndarray)
    29027    0.027    0.000    0.092    0.000 ops.py:3823(_get_operation_by_tf_operation)
    29027    0.075    0.000    0.176    0.000 ops.py:3848(_get_tensor_by_tf_output)
    28979    0.130    0.000    0.212    0.000 tensor_shape.py:1193(as_proto)
28868/28828    0.029    0.000    0.060    0.000 tensor_shape.py:756(<listcomp>)
    28796    0.062    0.000    0.295    0.000 ops.py:5639(init_scope)
    28402    0.017    0.000    0.017    0.000 func_graph.py:427(outer_graph)
27672/17970    0.045    0.000    0.130    0.000 base_layer.py:2756(__setattr__)
    27050    0.017    0.000    0.029    0.000 tf_decorator.py:114(_has_tf_decorator_attr)
    27043    0.070    0.000    0.082    0.000 tensor_shape.py:1199(<listcomp>)
    26934    0.014    0.000    0.044    0.000 ops.py:2052(name)
    26151    0.111    0.000    1.869    0.000 auto_control_deps.py:519(_get_resource_inputs)
    25989    0.015    0.000    0.015    0.000 {method 'startswith' of 'str' objects}
    25899    0.047    0.000    0.047    0.000 {built-in method tensorflow.python._pywrap_tf_session.GetOperationInputs}
    24747    0.013    0.000    0.013    0.000 context.py:749(_handle)
    24626    0.125    0.000    0.230    0.000 functools.py:37(update_wrapper)
24575/21901    0.042    0.000    9.299    0.000 dispatch.py:198(wrapper)
    24320    0.020    0.000    0.020    0.000 resource_variable_ops.py:545(handle)
    23846    0.008    0.000    0.010    0.000 ops.py:2245(_add_control_inputs)
    23702    0.044    0.000    0.064    0.000 meta_graph.py:443(_is_default_attr_value)
    23694    0.031    0.000    0.031    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_TapeSetIsEmpty}
    23575    0.011    0.000    0.016    0.000 registry.py:74(list)
    23575    0.027    0.000    0.038    0.000 control_flow_util.py:82(IsInWhileLoop)
    23575    0.005    0.000    0.005    0.000 control_flow_util.py:191(GetContainingWhileContext)
    23575    0.025    0.000    0.078    0.000 dataset_ops.py:4572(_resource_resolver)
    23575    0.126    0.000    1.328    0.000 auto_control_deps_utils.py:89(get_read_write_resource_inputs)
    23575    0.022    0.000    0.076    0.000 auto_control_deps.py:136(collective_manager_ids_from_op)
    23575    0.031    0.000    0.215    0.000 tpu.py:223(tpu_replicated_input_resolver)
    23523    0.019    0.000    0.027    0.000 func_graph.py:1057(<genexpr>)
    23150    0.014    0.000    0.014    0.000 op_def_library.py:64(_IsListParameter)
    23150    0.022    0.000    0.066    0.000 op_def_library.py:510(<listcomp>)
    22741    0.011    0.000    0.064    0.000 nest.py:1310(yield_flat_paths)
    22620    0.006    0.000    0.006    0.000 tensor_spec.py:68(dtype)
    22561    0.049    0.000    0.213    0.000 gradients_util.py:433(_Inputs)
    22534    0.017    0.000    0.022    0.000 context.py:239(pop)
    22534    0.037    0.000    0.067    0.000 context.py:219(push)
    22100    0.318    0.000    0.892    0.000 base_layer.py:2847(_flatten_layers)
    22044    0.023    0.000    0.061    0.000 auto_control_deps_utils.py:112(<genexpr>)
    21928    0.003    0.000    0.003    0.000 inspect.py:2517(name)
    21827    0.020    0.000    0.021    0.000 ops.py:6439(__init__)
    21827    0.052    0.000    0.493    0.000 ops.py:6458(__enter__)
    21827    0.032    0.000    0.099    0.000 ops.py:6498(__exit__)
    21715    0.056    0.000    0.056    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_AddInput}
    21291    0.011    0.000    0.015    0.000 tensor_shape.py:819(rank)
    20939    0.039    0.000    0.039    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_GraphGetTensorShapeHelper}
    20939    0.066    0.000    0.208    0.000 ops.py:444(_c_api_shape)
    20845    0.019    0.000    0.045    0.000 tensor_spec.py:87(__hash__)
    20778    0.011    0.000    0.011    0.000 ops.py:452(<listcomp>)
    20627    0.010    0.000    0.010    0.000 ops.py:5035(_device_function_stack)
    20498    0.037    0.000    2.738    0.000 constant_op.py:166(constant)
    20498    0.146    0.000    2.701    0.000 constant_op.py:267(_constant_impl)
    20308    0.006    0.000    0.006    0.000 ops.py:167(__init__)
    20308    0.005    0.000    0.005    0.000 ops.py:170(__enter__)
    20308    0.006    0.000    0.006    0.000 ops.py:173(__exit__)
    19964    0.007    0.000    0.009    0.000 func_graph.py:664(captures)
    19946    0.011    0.000    0.022    0.000 gradients_util.py:387(_Captures)
    19666    0.019    0.000    0.019    0.000 ops.py:2801(name_from_scope_name)
    19474    0.006    0.000    0.006    0.000 {method 'replace' of 'str' objects}
    19414    0.057    0.000    0.181    0.000 backprop_util.py:25(IsTrainable)
    19244    0.013    0.000    0.013    0.000 resource_variable_ops.py:498(dtype)
